"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","civil_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"less than 200",10,"delayed","new car",7308,"between 500 and 999","unemployed",2,"male","single","individual",4,"no collateral",70,"bank debt","free use",1,"highly qualified",1,"yes","yes","good"
"no checking",36,"delayed","new car",909,"more than or = 1000","more than 7 years",4,"male","single","individual",4,"life insurance",36,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",6,"delayed","furniture/equipment",2978,"more than or = 1000","less than 4 years",1,"male","single","individual",2,"vehicle",32,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",18,"delayed","furniture/equipment",1131,"between 500 and 999","unemployed",4,"female","unspecified","individual",2,"vehicle",33,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",11,"delayed","furniture/equipment",1577,"no savingss","less than 1 year",4,"female","unspecified","individual",1,"real estate",20,"no debt","owned",1,"skilled",1,"no","yes","good"
"no checking",24,"delayed","furniture/equipment",3972,"between 500 and 999","less than 7 years",2,"female","unspecified","individual",4,"life insurance",25,"no debt","rented",1,"skilled",1,"yes","yes","good"
"less than 200",24,"dully paid","business",1935,"between 500 and 999","more than 7 years",4,"male","divorced","individual",4,"real estate",31,"no debt","owned",2,"skilled",1,"yes","yes","bad"
"negative",15,"duly paying","new car",950,"between 500 and 999","more than 7 years",4,"male","single","individual",3,"vehicle",33,"no debt","rented",2,"skilled",2,"no","yes","bad"
"no checking",12,"delayed","furniture/equipment",763,"between 500 and 999","less than 4 years",4,"female","unspecified","individual",1,"real estate",26,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",24,"critical","furniture/equipment",2064,"between 500 and 999","unemployed",3,"female","unspecified","individual",2,"life insurance",34,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"less than 200",8,"delayed","radio/tv",1414,"between 500 and 999","less than 4 years",4,"male","single","guaranteed",2,"real estate",33,"no debt","owned",1,"skilled",1,"no","no","good"
"negative",21,"critical","education",3414,"between 500 and 999","less than 1 year",2,"male","single","individual",1,"life insurance",26,"no debt","owned",2,"skilled",1,"no","yes","bad"
"no checking",30,"no credits","used car",7485,"between 100 and 499","unemployed",4,"female","unspecified","individual",1,"real estate",53,"bank debt","owned",1,"highly qualified",1,"yes","yes","bad"
"negative",12,"delayed","furniture/equipment",2577,"between 500 and 999","less than 4 years",2,"male","divorced","individual",1,"vehicle",42,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",6,"dully paid","radio/tv",338,"more than or = 1000","more than 7 years",4,"male","single","individual",4,"vehicle",52,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",12,"delayed","radio/tv",1963,"between 500 and 999","less than 7 years",4,"male","single","individual",2,"vehicle",31,"no debt","rented",2,"highly qualified",2,"yes","yes","good"
"negative",21,"dully paid","new car",571,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",65,"no debt","owned",2,"skilled",1,"no","yes","good"
"no checking",36,"critical","business",9572,"between 500 and 999","less than 1 year",1,"male","divorced","individual",1,"vehicle",28,"no debt","owned",2,"skilled",1,"no","yes","bad"
"less than 200",36,"critical","business",4455,"between 500 and 999","less than 4 years",2,"male","divorced","individual",2,"real estate",30,"purchase debt","owned",2,"highly qualified",1,"yes","yes","bad"
"negative",21,"no credits","new car",1647,"between 100 and 499","less than 4 years",4,"male","single","individual",2,"life insurance",40,"no debt","owned",2,"unskilled res",2,"no","yes","bad"
"no checking",24,"dully paid","furniture/equipment",3777,"no savingss","less than 4 years",4,"male","single","individual",4,"real estate",50,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",18,"dully paid","new car",884,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"vehicle",36,"bank debt","owned",1,"skilled",2,"yes","yes","bad"
"no checking",15,"dully paid","radio/tv",1360,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"life insurance",31,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",9,"no credits","used car",5129,"between 500 and 999","more than 7 years",2,"female","unspecified","individual",4,"no collateral",74,"bank debt","free use",1,"highly qualified",2,"yes","yes","bad"
"less than 200",16,"dully paid","new car",1175,"between 500 and 999","unemployed",2,"male","single","individual",3,"vehicle",68,"no debt","free use",3,"unskilled non-res",1,"yes","yes","good"
"negative",12,"delayed","radio/tv",674,"less than 100","less than 7 years",4,"male","married/widowed","individual",1,"life insurance",20,"no debt","owned",1,"skilled",1,"no","yes","bad"
"less than 200",18,"duly paying","furniture/equipment",3244,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",4,"vehicle",33,"bank debt","owned",2,"skilled",1,"yes","yes","good"
"no checking",24,"delayed","business",4591,"no savingss","less than 4 years",2,"male","single","individual",3,"life insurance",54,"no debt","owned",3,"highly qualified",1,"yes","yes","bad"
"less than 200",48,"duly paying","business",3844,"less than 100","less than 7 years",4,"male","single","individual",4,"no collateral",34,"no debt","free use",1,"unskilled res",2,"no","yes","bad"
"less than 200",27,"delayed","business",3915,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"vehicle",36,"no debt","owned",1,"skilled",2,"yes","yes","bad"
"no checking",6,"delayed","radio/tv",2108,"between 500 and 999","less than 7 years",2,"male","married/widowed","individual",2,"real estate",29,"no debt","rented",1,"skilled",1,"no","yes","good"
"less than 200",45,"delayed","radio/tv",3031,"less than 100","less than 4 years",4,"male","single","guaranteed",4,"life insurance",21,"no debt","rented",1,"skilled",1,"no","yes","bad"
"less than 200",9,"dully paid","education",1501,"between 500 and 999","more than 7 years",2,"female","unspecified","individual",3,"vehicle",34,"no debt","owned",2,"highly qualified",1,"yes","yes","bad"
"no checking",6,"dully paid","radio/tv",1382,"between 500 and 999","less than 4 years",1,"female","unspecified","individual",1,"vehicle",28,"no debt","owned",2,"skilled",1,"yes","yes","good"
"less than 200",12,"delayed","furniture/equipment",951,"less than 100","less than 1 year",4,"female","unspecified","individual",4,"vehicle",27,"bank debt","rented",4,"skilled",1,"no","yes","bad"
"less than 200",24,"delayed","used car",2760,"between 100 and 499","more than 7 years",4,"male","single","individual",4,"no collateral",36,"bank debt","free use",1,"skilled",1,"yes","yes","good"
"less than 200",18,"critical","furniture/equipment",4297,"between 500 and 999","more than 7 years",4,"male","divorced","individual",3,"no collateral",40,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"no checking",9,"dully paid","education",936,"more than or = 1000","more than 7 years",4,"male","single","individual",2,"vehicle",52,"no debt","owned",2,"skilled",1,"yes","yes","good"
"negative",12,"delayed","new car",1168,"between 500 and 999","less than 4 years",4,"male","married/widowed","individual",3,"real estate",27,"no debt","owned",1,"unskilled res",1,"no","yes","good"
"no checking",27,"critical","business",5117,"between 500 and 999","less than 7 years",3,"male","single","individual",4,"vehicle",26,"no debt","owned",2,"skilled",1,"no","yes","good"
"negative",12,"delayed","retraining",902,"between 500 and 999","less than 7 years",4,"male","married/widowed","individual",4,"life insurance",21,"no debt","rented",1,"skilled",1,"no","yes","bad"
"no checking",12,"dully paid","new car",1495,"between 500 and 999","more than 7 years",4,"male","single","individual",1,"real estate",38,"no debt","owned",2,"unskilled res",2,"no","yes","good"
"negative",30,"dully paid","used car",10623,"between 500 and 999","more than 7 years",3,"male","single","individual",4,"no collateral",38,"no debt","free use",3,"highly qualified",2,"yes","yes","good"
"no checking",12,"dully paid","furniture/equipment",1935,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",43,"no debt","owned",3,"skilled",1,"yes","yes","good"
"less than 200",12,"dully paid","domestic appliance",1424,"between 500 and 999","less than 7 years",4,"male","single","individual",3,"life insurance",26,"no debt","owned",1,"skilled",1,"no","yes","good"
"negative",24,"delayed","business",6568,"between 500 and 999","less than 4 years",2,"male","married/widowed","individual",2,"vehicle",21,"purchase debt","owned",1,"unskilled res",1,"no","yes","good"
"no checking",12,"delayed","used car",1413,"no savingss","less than 7 years",3,"male","single","individual",2,"life insurance",55,"no debt","owned",1,"skilled",1,"no","no","good"
"no checking",9,"dully paid","radio/tv",3074,"between 100 and 499","less than 4 years",1,"male","single","individual",2,"real estate",33,"no debt","owned",2,"skilled",2,"no","yes","good"
"no checking",36,"delayed","radio/tv",3835,"between 100 and 499","more than 7 years",2,"female","unspecified","individual",4,"real estate",45,"no debt","owned",1,"unskilled res",1,"yes","yes","good"
"negative",27,"duly paying","business",5293,"between 500 and 999","unemployed",2,"male","single","individual",4,"life insurance",50,"purchase debt","owned",2,"skilled",1,"yes","yes","bad"
"more than or = 200",30,"critical","business",1908,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"real estate",66,"no debt","owned",1,"highly qualified",1,"yes","yes","bad"
"no checking",36,"dully paid","radio/tv",3342,"between 100 and 499","more than 7 years",4,"male","single","individual",2,"vehicle",51,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",6,"dully paid","retraining",932,"between 100 and 499","less than 7 years",1,"female","unspecified","individual",3,"life insurance",39,"no debt","owned",2,"unskilled res",1,"no","yes","good"
"negative",18,"duly paying","business",3104,"between 500 and 999","less than 7 years",3,"male","single","individual",1,"life insurance",31,"bank debt","owned",1,"skilled",1,"yes","yes","good"
"more than or = 200",36,"delayed","radio/tv",3913,"between 500 and 999","less than 4 years",2,"male","single","individual",2,"real estate",23,"no debt","owned",1,"skilled",1,"yes","yes","good"
"negative",24,"delayed","furniture/equipment",3021,"between 500 and 999","less than 4 years",2,"male","divorced","individual",2,"real estate",24,"no debt","rented",1,"unskilled res",1,"no","yes","good"
"no checking",10,"delayed","new car",1364,"between 500 and 999","less than 4 years",2,"female","unspecified","individual",4,"vehicle",64,"no debt","owned",1,"skilled",1,"yes","yes","good"
"less than 200",12,"delayed","radio/tv",625,"between 500 and 999","less than 1 year",4,"male","married/widowed","guaranteed",1,"real estate",26,"bank debt","owned",1,"unskilled res",1,"no","yes","good"
"negative",12,"delayed","education",1200,"between 100 and 499","less than 4 years",4,"female","unspecified","individual",4,"life insurance",23,"bank debt","rented",1,"skilled",1,"yes","yes","good"
"no checking",12,"delayed","radio/tv",707,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"real estate",30,"bank debt","owned",2,"skilled",1,"no","yes","good"
"no checking",24,"critical","business",2978,"between 100 and 499","less than 4 years",4,"male","single","individual",4,"real estate",32,"no debt","owned",2,"skilled",2,"yes","yes","good"
"no checking",15,"delayed","used car",4657,"between 500 and 999","less than 4 years",3,"male","single","individual",2,"vehicle",30,"no debt","owned",1,"skilled",1,"yes","yes","good"
"no checking",36,"duly paying","repairs",2613,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"vehicle",27,"no debt","owned",2,"skilled",1,"no","yes","good"
"less than 200",48,"delayed","radio/tv",10961,"no savingss","less than 7 years",1,"male","single","co-aplicant",2,"no collateral",27,"bank debt","owned",2,"skilled",1,"yes","yes","bad"
"negative",12,"delayed","furniture/equipment",7865,"between 500 and 999","more than 7 years",4,"male","single","individual",4,"no collateral",53,"no debt","free use",1,"highly qualified",1,"yes","yes","bad"
"no checking",9,"delayed","radio/tv",1478,"between 500 and 999","less than 7 years",4,"male","single","individual",2,"vehicle",22,"no debt","owned",1,"skilled",1,"no","yes","bad"
"negative",24,"delayed","furniture/equipment",3149,"between 500 and 999","less than 1 year",4,"male","single","individual",1,"no collateral",22,"bank debt","free use",1,"skilled",1,"no","yes","good"
"more than or = 200",36,"delayed","radio/tv",4210,"between 500 and 999","less than 4 years",4,"male","single","individual",2,"vehicle",26,"no debt","owned",1,"skilled",1,"no","yes","bad"
"no checking",9,"delayed","new car",2507,"more than or = 1000","more than 7 years",2,"male","single","individual",4,"no collateral",51,"no debt","free use",1,"unskilled res",1,"no","yes","good"
